route_id,guid,geom,x,y,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation
C23-RO01,1,010100002031BF0D00A447962F60A453C000E83AE0F250D2BF,-78.5683707206322,-0.286190718626699,9652.681549922,1347.977217601,0,unclassified,9330.658987761,0,3005.653633254,0,123.827269593,0,284.601489179,0,442.532467116,0,297.903470775,1618.168768196,0,1207.015444372,0,401.569861831,0,1269.4593954,0,226.805721737,0,800.588234043,602.151081502,0,1099.736518305,res.bajo consumo,0,331.514553549,89.9777450561523,2936.86108398438
C23-RO05,2,010100002031BF0D009C8F63185FA453C0001C8F882854D2BF,-78.568304154613,-0.286386617048663,9664.4939815,1330.59579115,0,unclassified,9342.101140817,0,3016.8228599,0,144.001133278,0,262.310125876,0,435.835463915,0,274.897397643,1600.732613824,0,1185.163039904,0,397.288895758,0,1252.523951737,0,212.529084393,0,783.84450061,584.935267983,0,1089.417824175,res.bajo consumo,0,312.570568215,89.9814529418945,2938.40478515625
C23-RO03,3,010100002031BF0D0095A0A67559A453C0CA9B7B89BB52D2BF,-78.5679601790637,-0.28629959512767,9632.410899759,1302.590573439,0,unclassified,9309.596623017,0,2984.120988108,0,134.383962912,0,251.902041467,0,397.166116153,0,274.49430318,1572.806820725,0,1170.333483292,0,357.972644554,0,1223.715830994,0,180.028745335,0,754.776465209,555.665829366,0,1052.81966636,res.bajo consumo,0,292.678759074,89.9867706298828,2938.2314453125
C23-RO02,4,010100002031BF0D00CE06ED4E55A453C0F03DB540C153D2BF,-78.5677068056786,-0.286361993018516,9619.586174653,1274.925370027,0,unclassified,9296.291220474,0,2970.726365385,0,147.708802794,0,234.710532123,0,369.367834856,0,263.787239043,1545.145873022,0,1148.519124857,0,331.459074801,0,1195.807784652,0,151.529352785,0,726.859607171,527.076946271,0,1023.952135546,res.bajo consumo,0,264.383643494,89.9867706298828,2938.2314453125
C23-RO01,5,010100002031BF0D00A53B628B53A453C06D636CF62258D2BF,-78.5675991496378,-0.286629429481357,9634.718853559,1249.30046596,0,residential,9310.899832288,0,2985.412918064,0,161.126933489,0,202.682115236,0,360.493718398,0,233.321181333,1519.497105411,0,1117.245424241,0,326.974469298,0,1170.772948124,0,129.68536712,0,701.916749634,514.007774915,0,1008.35749917,res.bajo consumo,0,253.962215438,89.9867706298828,2938.2314453125
C19-RO03,6,010100002031BF0D0080C1188F52A453C000ECFD28417FD3BF,-78.567538999725,-0.304642000228057,11242.768393265,1732.869223341,0,service,10900.715617089,0,4120.648361562,2,0.0001,0,79.714195649,0,746.048107653,0,110.407659461,1648.988675976,0,829.190582172,0,80.600606897,0,1314.076987396,0,241.519424055,0,1777.970868935,927.996421118,0,678.828402063,res.bajo consumo,0,247.389604575,89.9817428588867,2980.20703125
C23-RO05,7,010100002031BF0D00CF6A5F2152A453C0F059EC213E5BD2BF,-78.5675128394898,-0.28681901276414,9644.786607457,1230.35607058,0,residential,9320.583314546,0,2995.271890018,0,171.122347117,0,179.624506927,0,354.734374378,0,211.999944156,1500.505039594,0,1094.465255584,0,324.634956915,0,1152.257526125,0,115.981276206,0,683.60503104,504.659674837,0,996.672318227,res.bajo consumo,0,247.732615619,89.9895095825195,2939.52197265625
C19-RO02b,8,010100002031BF0D003CDD8C8751A453C0E4AD3B77187FD3BF,-78.5674761653544,-0.304632297934147,11238.037184408,1727.722138619,0,tertiary,10895.920784129,0,4115.19766252,2,7.069562082,0,72.644618307,0,739.662530639,0,114.281541795,1642.925725054,0,829.016826556,0,73.627076412,0,1308.16270822,0,237.933951742,0,1774.56723573,921.010802324,0,675.329358006,res.bajo consumo,0,240.867089448,89.9817428588867,2980.20703125
C19-RO02,9,010100002031BF0D00552A014450A453C0F2AA0F1BE87ED3BF,-78.5673990260487,-0.30462076800056,11232.267697643,1721.455472377,0,tertiary,10890.07293321,0,4108.491039358,2,15.742193994,0,63.972056108,0,731.864472798,0,119.46736293,1635.520746268,0,828.927869883,0,65.092499748,0,1300.946268073,0,233.789524378,0,1770.458299705,912.436467696,0,671.150445189,res.bajo consumo,0,232.892297309,89.9817428588867,2980.20703125
C23-RO03,10,010100002031BF0D0066A16E3E4CA453C09420906D5559D2BF,-78.5671535568596,-0.286702496523966,9609.326994815,1202.689714726,0,residential,9284.718077855,0,2959.70032317,0,139.152652334,0,183.958985036,0,313.004203277,0,228.291756022,1472.910222572,0,1082.900278421,0,282.691904338,0,1123.606246016,0,80.03878296,0,654.657250674,464.453639846,0,958.217418635,res.bajo consumo,0,206.06190378,89.9897918701172,2935.38818359375
