guid,geom,x,y,is_experience,image_name,route_id,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation,pos_neg,tags
1,0101000020E6100000CE06ED4E55A453C0F03DB540C153D2BF,-78.5677068056786,-0.286361993018516,f,,C23-RO02,9619.586174653,1274.925370031,0,unclassified,9296.291220477,0,2970.726365388,0,147.708802792,0,234.710532125,0,369.36783486,0,263.787239044,1545.145873026,0,1148.519124859,0,331.459074805,0,1195.807784655,0,151.529352789,0,726.859607174,527.076946275,0,1023.95213555,res.bajo consumo,0,264.383643498,89.9867706298828,2938.2314453125,,
2,0101000020E6100000A53B628B53A453C06D636CF62258D2BF,-78.5675991496378,-0.286629429481357,f,,C23-RO01,9634.718853559,1249.300465964,0,residential,9310.899832291,0,2985.412918067,0,161.126933492,0,202.682115237,0,360.493718403,0,233.321181333,1519.497105415,0,1117.245424243,0,326.974469302,0,1170.772948127,0,129.685367124,0,701.916749638,514.00777492,0,1008.357499174,res.bajo consumo,0,253.962215442,89.9867706298828,2938.2314453125,,
3,0101000020E6100000552A014450A453C0F2AA0F1BE87ED3BF,-78.5673990260487,-0.30462076800056,f,,C19-RO02,11232.267697643,1721.455472377,0,tertiary,10890.07293321,0,4108.491039358,2,15.742193994,0,63.972056108,0,731.864472798,0,119.46736293,1635.520746268,0,828.927869883,0,65.092499748,0,1300.946268073,0,233.789524378,0,1770.458299705,912.436467696,0,671.150445189,res.bajo consumo,0,232.892297309,89.9817428588867,2980.20703125,,
4,0101000020E610000066A16E3E4CA453C09420906D5559D2BF,-78.5671535568596,-0.286702496523966,f,,C23-RO03,9609.326994815,1202.689714723,0,residential,9284.718077852,0,2959.700323167,0,139.152652332,0,183.958985035,0,313.004203273,0,228.291756023,1472.910222569,0,1082.900278419,0,282.691904334,0,1123.606246013,0,80.038782956,0,654.65725067,464.453639842,0,958.21741863,res.bajo consumo,0,206.061903775,89.9897918701172,2935.38818359375,,
5,0101000020E61000006B66543A4BA453C02F52213CC85AD3BF,-78.5670915436,-0.302415903778896,f,,C19-RO02,11008.873234242,1511.484442698,0,tertiary,10668.022446402,0,4211.175603807,0,108.75597837,0,110.84122552,0,593.228380464,1,47.968396143,1461.341888869,0,595.154052304,0,153.610913056,0,1121.906215883,0.0387786357691937,41.104104315,0,1528.899870311,894.403404859,0,432.152376078,res.bajo consumo,0,326.276218272,89.992546081543,2969.43432617188,,
6,0101000020E6100000DD00F87E49A453C025DAD5FE6769D3BF,-78.5669858381184,-0.303308485853821,f,,C19-RO02,11085.076095451,1578.757232515,0,tertiary,10743.405418651,0,4146.637529696,2,42.468804616,0,137.207049518,0,618.372086167,0,115.35444731,1508.852641197,0,694.243308244,0,113.613717901,0,1171.3038471,0,80.989061798,0,1617.597981232,875.262509554,0,518.35831798,res.bajo consumo,0,273.191180194,89.9882431030273,2973.14892578125,,
7,0101000020E6100000EC06D46D48A453C08633DA4F005BD2BF,-78.5669207163407,-0.286804273587045,f,,C23-RO02,9601.599851731,1174.713018505,0,residential,9276.496485544,0,2951.994312818,0,115.685686597,0,171.999943959,0,290.214274184,0,215.09041016,1444.931897886,0,1059.453599288,0,263.369645274,0,1095.519052328,0,51.857816405,0,626.572305239,438.801226228,0,931.289088723,res.bajo consumo,0,183.233632194,89.9897918701172,2935.38818359375,,
8,0101000020E6100000B29560B547A453C0B32FFDD41478D3BF,-78.5668767398081,-0.304204185483054,f,,C19-RO02,11161.738318436,1649.394978886,0,tertiary,10819.26494178,0,4083.022442275,2,36.878110651,1,36.878294756,0,657.777275181,0,149.543636857,1561.257096182,0,793.968837903,2,13.280318948,0,1226.825930747,0,166.293785005,0,1707.749232567,855.768699997,0,609.00610989,res.bajo consumo,0,198.092439178,89.9908142089844,2977.63818359375,,
9,0101000020E61000008681419847A453C042285099AB4CD3BF,-78.5668697967249,-0.301554584235991,f,,C19-RO02,10915.580409975,1424.823597587,0,tertiary,10575.158286173,0,4245.29508152,2,12.051792633,1,12.051792633,0,548.663965103,0,120.639372445,1389.588606538,0,511.199555479,0,117.754711529,0,1049.741783225,0.037938947371124,39.561274132,0,1430.813477203,878.364230728,0,336.236967798,res.bajo consumo,0,302.366253715,89.9865188598633,2963.68701171875,,
10,0101000020E6100000C1EAEF8645A453C09646E1D3D45CD2BF,-78.566743597311,-0.286915976442381,f,,C23-RO01,9598.724610103,1151.429698882,0,residential,9273.202138619,0,2949.273441713,0,92.4911235,0,161.819213987,0,274.701434792,0,191.808009384,1421.648723327,0,1038.525158211,0,251.693719304,0,1072.253849668,0.0590678238217141,29.770325204,0,603.305738779,419.742273988,0,910.514561898,res.bajo consumo,0,168.303236369,89.9782485961914,2934.37890625,,
11,0101000020E610000056D4147340A453C0DFC1B452BB3FD3BF,-78.5664336875355,-0.300764876144084,f,,C19-RO02,10815.653443268,1328.319472578,0,tertiary,10475.353910518,0,4246.187303189,1,39.037627417,0,88.343528535,0,495.241703748,0,220.403513497,1304.057431582,0,452.074384262,0,53.90670987,0,964.638324608,0,97.492003616,0,1331.278434556,833.963178245,0,235.978330494,res.bajo consumo,0,202.540634658,89.9840774536133,2960.0009765625,,
12,0101000020E61000000A9EB7303FA453C0B8A5713B0C5BD2BF,-78.5663568299425,-0.286807115603178,f,,C23-RO03,9562.169179673,1121.716521319,0,residential,9236.187571156,0,2913.041939762,0,75.128605822,0,182.42679515,0,230.058406589,0,164.760228641,1391.817901284,0,1027.28635204,0,208.672547737,0,1041.497724682,0.408673010954723,2.224536741,0,572.990018909,376.155145537,0,868.889136598,res.bajo consumo,0,123.870021432,89.9828033447266,2933.48364257812,,
