image_id;tags;val_julie
image_1;#traffic #cars #buses #smog;-2
image_2;#obstructedbikelane, #nosignals #incomplete #poordesign #cars;-2
image_3;#clearbikelane #unusual;2
image_4;#cutthroughpark #hardtocross #carsdonotlook #poordesign;-3
image_5;#truckinbikelane #construction #obstructed;-4
image_6;#truckinbikelane #police #disrespect;-3
image_7;#invadedbikelane #traffic;-3
image_8;#badintersection #difficulttocross;-3
image_9;#parkedcars #norespect;-2
image_10;#parkedcar;-1
image_11;#parks #streetvendors;1
image_12;#parkedcar #poordesign #confusingsigns;-2
image_13;#oldairport #park #fasttraffic;-3
image_14;#parkedcar #poordesign #BiciQstation #Municipalbuilding;-1
image_15;#intersection #poordesign #hardtocross #bikelane-sidewalk #badsignals;-4
image_16;#bikelane-sidewalk #motorcycleway;-2
image_17;#underpass #cannotcross;-2
image_18;#bikelane-sidewalk #notshared;-2
image_19;#BiciQ #commute;3
image_20;#plaza #BiciQ;2
image_21;#poordesign #downhill #wrongway;-1
image_22;#intersection #poordesign #hardtocross #bikeswaitfortraffic;-3
image_23;#potholes #sidewalk #bikelane-sidewalk;-2
image_24;#park #bikelane #spiralbridge #graffiti;3
image_25;#park #bikelane #spiralbridge;3
image_26;#park #bikinginpark;2
image_27;#BiciQ #MinistryofAgriculture;2
image_28;#badintersection #hardtocross #sharewithpedestrians;-3
image_29;#obstructedbikelane #blindpolice #taxis #poordesign;-3
image_30;#poordesign #traffic #chaos;-3
image_31;#universities #commute #insecurity #poordesign;-3
image_32;#parkedcar #bikelane;0
image_33;#taxisinbikelane #norespect #traffic #smog;-4
image_34;#parkedcars #obstructedbikelane #confusion #badinfrastructure;-4
image_35;#plazagrande #difficulttopass #safetocross;1
image_36;#plaza #protest #bikepedcrossing;2
image_37;#uphill #sharedbikeway #trolebus;1
image_38;#bikeparking #cars #wrongway;-2
image_39;#police #bikeway #park;2
image_40;#parkedcars;-1
image_41;#trolebus #plazagrande #pedestrians #sharedlane;2
image_42;#rain #traffic;-1
image_43;#taxis #honking #uphill #traffic #smog;-3
image_44;#construction #potholes #detour;-2
image_45;#nobikelanes #rain #giantdrain;-3
image_46;#rain #cobblestone #giantpothole;-2
image_47;#twodirections #poordesign #invasion #traffic;-4
image_48;#parkedcar #bikelane #invasion #traffic;-2
image_49;#invasion #twowaybikelane #traffic;-1
image_50;#traffic #invasion #poordesign #twowaybikelane;-4
image_51;#invasion #construction #truck #parked;-2
image_52;#motorcycles #invasion #norespect;-3
image_53;#badinfrastructure #nosigns #hardtocross;-3
image_54;#sidewalks #nobikesallowed;-2
image_55;#police #invasion;-1
image_56;#bikelane-sidewalk #unsafe4pedestrians #poordesign;-2
image_57;#poordesign #glass #twowaybikelane;-3
image_58;#park #LaCarolina #bikes;3
image_59;#park #LaCarolina;2
image_60;#park #LaCarolina #green;3
image_61;#green #park #LaCarolina #calm;4
image_62;#sharedbikepath #park #LaCarolina #calm;4
image_63;#bikeparking;2
image_64;#BiciQ #traffic #rain;0
image_65;#traffic #bikelane-sidewalk;-2
image_66;#police #bikelane-sidewalk;-2
image_67;#traffic #BRTlane #difficulttocross;-3
image_68;#sharedBRTlane #difficulttocross #traffic;-3
image_69;#library #bikelane #wrongway;1
image_70;#library #wrongway;0
image_71;#BRTlane #hardtocross #traffic;-4
image_72;#parkedcars #bikerespect #traffic;0
image_73;#parkedcars #bikelane #disrespect;-1
image_74;#motorcycle #bikelane #obstructed;-1
image_75;#obstructed #bikelane #motorcycle;-1
image_76;#bikeparking #MinistryofEnvironment;3
image_77;#bicyclists-sidewalk #fearofroads;-3
image_78;#traffic #smog;-2
image_79;#traffic #smog;-2
image_80;#park #green #LaCarolina #traffic #smog;3
image_81;#traffic #hardtocross;-3
image_82;#hardtocross #poordesign #traffic #smog;-4
image_83;#traffic #smog #park;-1
image_84;#park #BiciQ #LaCarolina;3
image_85;#signs #publicsafety #street;2
image_86;#shopping #traffic #bikeparking #smog;1
image_87;#BRTlane #sharing #traffic #safety #smog;0
image_88;#BRTlane #sharing #traffic #smog;-1
image_89;#pedestrianxing #safety #cars #respect;3
image_90;#sidewalk-parking #noparking #disrespect;-3
image_91;#sharedroad #poordesign #badpaint;-2
image_92;#sharedbikeway #confusing #pedestrians;-3
image_93;#parking #bikelane #truck #disrespect;-2
image_94;#hardtocross #taxis #sidewalk #traffic;-4
image_95;#parkedtruck #bikelane #Cordero #disrespect;-4
image_96;#BRTlane #traffic #safety #smog;-4
image_97;#library #bikelane;2
image_98;#BiciQ #bikelane-sidewalk #pedestrians #crowded;1
image_99;#BiciQ #invasion #truck #bikelane-sidewalk;-1
image_100;#traffic #smog #hardtocross;-3
image_101;#traffic #smog #oldairport #intersection;-3
image_102;#BRTlane #badinfrastructure #greenrails #hardtocross;-2
image_103;#traffic #smog #bikeoncar;-2
image_104;#bikeparking #municipality;1
image_105;#BRTlane #sharing;1
image_106;#traffic #smog;-1
image_107;#BiciQ #bikelane-sidewalk #pedestrians;0
image_108;#construction #parkedcars #obstructedbikelane;-3
image_109;#streetvendors #sharedspace;2
image_110;#construction #invasion;-2
image_111;#evening #traffic #smog;-2
image_112;#sidewalkparking;-2
image_113;#BRTlane #safety;-2
image_114;#LaCarolina #pedestrians #park #share;3
image_115;#traffic #smog #intersection #poordesign;-2
image_116;#traffic #difficulttocross #smog;-3
image_117;#sidewalk #cracking #construction;-3
image_118;#reducedspeedzone #pothole;0
image_119;#BRTlane #safety #smog;-3
image_120;#traffic #outsideBRTlane #smog;-2
image_121;#BRTlane #safety #traffic #smog;-3
image_122;#park #bikeparking #green #calm;3
image_123;#BRTlane #safety #smog #commute;-3
